player_id,name,span,bating_style,playing_role,country,matches,innings,runs,strike_rate,average_score,not_out,100s,50,4s,6s,years_played,batting_score,Runs_per_year,Runs_per_inning,Runs_by_6s,6s_runs_percentage,Runs_by_4s,4s_runs_percentage
530011,TM Head,2016-2022,left-hand bat,middle-order batter,Australia,51,48.0,1823.0,95.74,40.51,3.0,3.0,13.0,190.0,32.0,6,56.93104440366972,303.8333333333333,37.979166666666664,192.0,10.532089961601756,760.0,41.68952276467361
215155,UT Khawaja,2013-2019,left-hand bat,top-order batter,Australia,40,39.0,1554.0,84.09,42.0,2.0,2.0,12.0,150.0,13.0,6,56.01998572448251,259.0,39.84615384615385,78.0,5.019305019305019,600.0,38.61003861003861
787987,M Labuschagne,2020-2022,right-hand bat,batting allrounder,Australia,27,26.0,804.0,84.54,32.16,1.0,1.0,6.0,50.0,1.0,2,46.59479691516709,402.0,30.923076923076923,6.0,0.7462686567164178,200.0,24.875621890547265
272450,MR Marsh,2011-2022,right-hand bat,allrounder,Australia,69,65.0,1814.0,89.58,32.39,9.0,1.0,13.0,149.0,46.0,11,47.57721078953841,164.9090909090909,27.907692307692308,276.0,15.214994487320837,596.0,32.8555678059537
325026,GJ Maxwell,2012-2022,right-hand bat,batting allrounder,Australia,127,116.0,3482.0,124.98,34.13,14.0,2.0,23.0,332.0,128.0,10,53.617841744704926,348.2,30.017241379310345,768.0,22.056289488799543,1328.0,38.139000574382536
39037,Azhar Ali,2011-2018,right-hand bat,top-order batter,Pakistan,53,53.0,1845.0,74.45,36.9,3.0,3.0,12.0,168.0,14.0,7,49.34360125729681,263.57142857142856,34.81132075471698,84.0,4.5528455284552845,672.0,36.422764227642276
348144,Babar Azam,2015-2023,right-hand bat,batter,Pakistan,95,93.0,4813.0,89.03,59.41,12.0,17.0,24.0,437.0,48.0,8,71.26478442468337,601.625,51.75268817204301,288.0,5.983793891543736,1748.0,36.31830459173073
681117,Faheem Ashraf,2017-2021,left-hand bat,bowling allrounder,Pakistan,31,22.0,218.0,83.84,11.47,3.0,0.0,0.0,18.0,7.0,4,20.179305424404575,54.5,9.909090909090908,42.0,19.26605504587156,72.0,33.02752293577982
512191,Fakhar Zaman,2017-2023,left-hand bat,opening batter,Pakistan,65,65.0,2785.0,92.52,45.65,4.0,8.0,15.0,318.0,49.0,6,61.13538394731128,464.1666666666667,42.84615384615385,294.0,10.556552962298026,1272.0,45.67324955116697
40250,Fawad Alam,2007-2015,left-hand bat,top-order batter,Pakistan,38,36.0,966.0,74.47,40.25,12.0,1.0,6.0,59.0,6.0,8,52.25623256624826,120.75,26.833333333333332,36.0,3.7267080745341614,236.0,24.43064182194617
